"trainer/global_step","TDDS keep 30% samples - _step","TDDS keep 30% samples - _step__MIN","TDDS keep 30% samples - _step__MAX","TDDS keep 30% samples - val_loss","TDDS keep 30% samples - val_loss__MIN","TDDS keep 30% samples - val_loss__MAX","Random pruning keep 30% samples - _step","Random pruning keep 30% samples - _step__MIN","Random pruning keep 30% samples - _step__MAX","Random pruning keep 30% samples - val_loss","Random pruning keep 30% samples - val_loss__MIN","Random pruning keep 30% samples - val_loss__MAX","No pruning - _step","No pruning - _step__MIN","No pruning - _step__MAX","No pruning - val_loss","No pruning - val_loss__MIN","No pruning - val_loss__MAX","seed3_50%_normal_test_loss - _step","seed3_50%_normal_test_loss - _step__MIN","seed3_50%_normal_test_loss - _step__MAX","seed3_50%_normal_test_loss - val_loss","seed3_50%_normal_test_loss - val_loss__MIN","seed3_50%_normal_test_loss - val_loss__MAX","seed3_70%_normal_test_loss - _step","seed3_70%_normal_test_loss - _step__MIN","seed3_70%_normal_test_loss - _step__MAX","seed3_70%_normal_test_loss - val_loss","seed3_70%_normal_test_loss - val_loss__MIN","seed3_70%_normal_test_loss - val_loss__MAX"
"102255","","","","","","","","","","","","","1028","1028","1028","0.08017582446336746","0.08017582446336746","0.08017582446336746","1049","1049","1049","0.08189558982849121","0.08189558982849121","0.08189558982849121","","","","","",""
"102259","","","","","","","","","","","","","","","","","","","","","","","","","1041","1041","1041","0.08130995184183121","0.08130995184183121","0.08130995184183121"
"105191","1098","1098","1098","0.08440955728292465","0.08440955728292465","0.08440955728292465","1098","1098","1098","0.08435922861099243","0.08435922861099243","0.08435922861099243","","","","","","","","","","","","","","","","","",""
"109559","","","","","","","","","","","","","","","","","","","1124","1124","1124","0.0819917768239975","0.0819917768239975","0.0819917768239975","","","","","",""
"109574","1144","1144","1144","0.0833694264292717","0.0833694264292717","0.0833694264292717","1144","1144","1144","0.08336383104324341","0.08336383104324341","0.08336383104324341","","","","","","","","","","","","","","","","","",""
"112485","","","","","","","","","","","","","","","","","","","","","","","","","1145","1145","1145","0.07919999212026596","0.07919999212026596","0.07919999212026596"
"113957","1190","1190","1190","0.0827934518456459","0.0827934518456459","0.0827934518456459","1190","1190","1190","0.08379337191581726","0.08379337191581726","0.08379337191581726","","","","","","","","","","","","","","","","","",""
"116863","","","","","","","","","","","","","1175","1175","1175","0.07896970212459564","0.07896970212459564","0.07896970212459564","1199","1199","1199","0.08069568872451782","0.08069568872451782","0.08069568872451782","","","","","",""
"118340","1236","1236","1236","0.0827641710639","0.0827641710639","0.0827641710639","1236","1236","1236","0.08265957981348038","0.08265957981348038","0.08265957981348038","","","","","","","","","","","","","","","","","",""
"122711","","","","","","","","","","","","","","","","","","","","","","","","","1250","1250","1250","0.08036956936120987","0.08036956936120987","0.08036956936120987"
"122723","1282","1282","1282","0.08215275406837463","0.08215275406837463","0.08215275406837463","1282","1282","1282","0.08243928104639053","0.08243928104639053","0.08243928104639053","","","","","","","","","","","","","","","","","",""
"124167","","","","","","","","","","","","","","","","","","","1274","1274","1274","0.07952599227428436","0.07952599227428436","0.07952599227428436","","","","","",""
"127106","1328","1328","1328","0.08193731307983398","0.08193731307983398","0.08193731307983398","1328","1328","1328","0.08214594423770905","0.08214594423770905","0.08214594423770905","","","","","","","","","","","","","","","","","",""
"131471","","","","","","","","","","","","","1322","1322","1322","0.0770251676440239","0.0770251676440239","0.0770251676440239","1349","1349","1349","0.07902461290359497","0.07902461290359497","0.07902461290359497","","","","","",""
"131489","1373","1373","1373","0.08146998286247253","0.08146998286247253","0.08146998286247253","1373","1373","1373","0.08195184171199799","0.08195184171199799","0.08195184171199799","","","","","","","","","","","","","","","","","",""
"132937","","","","","","","","","","","","","","","","","","","","","","","","","1354","1354","1354","0.07787466049194336","0.07787466049194336","0.07787466049194336"
"135872","1419","1419","1419","0.08144232630729675","0.08144232630729675","0.08144232630729675","1419","1419","1419","0.08160058408975601","0.08160058408975601","0.08160058408975601","","","","","","","","","","","","","","","","","",""
"138775","","","","","","","","","","","","","","","","","","","1424","1424","1424","0.07876496762037277","0.07876496762037277","0.07876496762037277","","","","","",""
"140255","1465","1465","1465","0.08412133157253265","0.08412133157253265","0.08412133157253265","1465","1465","1465","0.08288685977458954","0.08288685977458954","0.08288685977458954","","","","","","","","","","","","","","","","","",""
"143163","","","","","","","","","","","","","","","","","","","","","","","","","1458","1458","1458","0.07718652486801147","0.07718652486801147","0.07718652486801147"
"144638","1511","1511","1511","0.08098925650119781","0.08098925650119781","0.08098925650119781","1511","1511","1511","0.08102351427078247","0.08102351427078247","0.08102351427078247","","","","","","","","","","","","","","","","","",""
"146079","","","","","","","","","","","","","1469","1469","1469","0.07573869079351425","0.07573869079351425","0.07573869079351425","1499","1499","1499","0.07782009243965149","0.07782009243965149","0.07782009243965149","","","","","",""
"149021","1557","1557","1557","0.0805792286992073","0.0805792286992073","0.0805792286992073","1557","1557","1557","0.08040258288383484","0.08040258288383484","0.08040258288383484","","","","","","","","","","","","","","","","","",""
"153383","","","","","","","","","","","","","","","","","","","1574","1574","1574","0.07884976267814636","0.07884976267814636","0.07884976267814636","","","","","",""
"153389","","","","","","","","","","","","","","","","","","","","","","","","","1562","1562","1562","0.0765565037727356","0.0765565037727356","0.0765565037727356"
"153404","1603","1603","1603","0.0814916342496872","0.0814916342496872","0.0814916342496872","1603","1603","1603","0.08076564967632294","0.08076564967632294","0.08076564967632294","","","","","","","","","","","","","","","","","",""
"157787","1648","1648","1648","0.08027142286300659","0.08027142286300659","0.08027142286300659","1648","1648","1648","0.08049912005662918","0.08049912005662918","0.08049912005662918","","","","","","","","","","","","","","","","","",""
"160687","","","","","","","","","","","","","1616","1616","1616","0.07450631260871887","0.07450631260871887","0.07450631260871887","1649","1649","1649","0.07680770754814148","0.07680770754814148","0.07680770754814148","","","","","",""
"162170","1694","1694","1694","0.08031797409057617","0.08031797409057617","0.08031797409057617","1694","1694","1694","0.08072549849748611","0.08072549849748611","0.08072549849748611","","","","","","","","","","","","","","","","","",""
